Ma,Kn,Re,T0,Lc_um
1.74,0.00583438485235231,453.1821350608857,300.0,20
1.75,0.0058831012189870975,452.01238454290575,300.0,20
1.76,0.005932238066138292,450.82989034327994,300.0,20
1.77,0.005981797218802894,449.63507869150766,300.0,20
1.78,0.006031780499035174,448.42836869999826,300.0,20
1.79,0.006082189725838175,447.21017240376983,300.0,20
1.8,0.006133026715056798,445.98089480275826,300.0,20
1.81,0.006184293279272435,444.7409339066069,300.0,20
1.82,0.006235991227699187,443.4906807818086,300.0,20
1.83,0.006288122366081662,442.2305196010731,300.0,20
1.84,0.006340688496594318,440.9608276948029,300.0,20
1.85,0.006393691417742417,439.68197560455434,300.0,20
1.86,0.006447132924264519,438.39432713837283,300.0,20
1.87,0.006501014807036562,437.09823942788876,300.0,20
1.8800000000000001,0.006555338852977531,435.7940629870644,300.0,20
1.8900000000000001,0.006610106844956665,434.48214177248946,300.0,20
1.9000000000000001,0.006665320561702265,433.16281324511874,300.0,20
1.9100000000000001,0.006720981777712031,431.8364084333584,300.0,20
1.9200000000000002,0.006777092263165016,430.50325199739655,300.0,20
1.93,0.006833653783835087,429.1636622946939,300.0,20
1.94,0.006890668101005989,427.81795144653717,300.0,20
1.95,0.006948136971387932,426.46642540557167,300.0,20
1.96,0.007006062147035757,425.1093840242278,300.0,20
1.97,0.007064445375268612,423.74712112396077,300.0,20
1.98,0.007123288398591206,422.3799245652223,300.0,20
1.99,0.007182592954616595,421.0080763180903,300.0,20
2.0,0.007242360775990464,419.6318525334847,300.0,20
2.01,0.007302593590316991,418.25152361489495,300.0,20
2.02,0.0073632931200861935,416.8673542905542,300.0,20
2.03,0.0074244610826027764,415.479603685995,300.0,20
2.04,0.007486099189916544,414.0885253969199,300.0,20
2.05,0.007548209148754257,412.69436756233137,300.0,20
2.0599999999999996,0.0076107926604530056,411.2973729378597,300.0,20
2.07,0.007673851420895073,409.8977789692338,300.0,20
2.0799999999999996,0.007737387120444281,408.4958178658412,300.0,20
2.09,0.007801401443883757,407.0917166743301,300.0,20
2.0999999999999996,0.007865896070355264,405.68569735219427,300.0,20
2.11,0.00793087267329987,404.2779768413076,300.0,20
